,N,c,n,replicate,th
308,40.0,0.800625,5.0,8.0,0.24655172413793103
309,40.0,0.72125,5.0,9.0,0.24655172413793103
310,40.0,0.72125,5.0,10.0,0.24655172413793103
311,40.0,0.699375,5.0,11.0,0.24655172413793103
312,40.0,0.73875,5.0,12.0,0.24655172413793103
313,40.0,0.71,5.0,13.0,0.24655172413793103
314,40.0,0.7075,5.0,14.0,0.24655172413793103
315,40.0,0.744375,5.0,15.0,0.24655172413793103
316,40.0,0.715,5.0,16.0,0.24655172413793103
317,40.0,0.704375,5.0,17.0,0.24655172413793103
318,40.0,0.78125,5.0,18.0,0.24655172413793103
319,40.0,0.7775,5.0,19.0,0.24655172413793103
320,40.0,0.7275,5.0,20.0,0.24655172413793103
321,40.0,0.690625,5.0,21.0,0.24655172413793103
322,40.0,0.741875,5.0,22.0,0.24655172413793103
323,40.0,0.701875,5.0,23.0,0.24655172413793103
324,40.0,0.75,5.0,24.0,0.24655172413793103
325,40.0,0.739375,5.0,25.0,0.24655172413793103
326,40.0,0.6925,5.0,26.0,0.24655172413793103
327,40.0,0.76875,5.0,27.0,0.24655172413793103
328,40.0,0.76125,5.0,28.0,0.24655172413793103
329,40.0,0.731875,5.0,29.0,0.24655172413793103
330,40.0,0.54375,5.0,30.0,0.24655172413793103
331,40.0,0.6625,5.0,31.0,0.24655172413793103
332,40.0,0.75,5.0,32.0,0.24655172413793103
333,40.0,0.72375,5.0,33.0,0.24655172413793103
334,40.0,0.745,5.0,34.0,0.24655172413793103
335,40.0,0.713125,5.0,35.0,0.24655172413793103
336,40.0,0.681875,5.0,36.0,0.24655172413793103
337,40.0,0.746875,5.0,37.0,0.24655172413793103
338,40.0,0.736875,5.0,38.0,0.24655172413793103
339,40.0,0.729375,5.0,39.0,0.24655172413793103
340,40.0,0.71125,5.0,40.0,0.24655172413793103
341,40.0,0.653125,5.0,41.0,0.24655172413793103
342,40.0,0.738125,5.0,42.0,0.24655172413793103
343,40.0,0.708125,5.0,43.0,0.24655172413793103
344,40.0,0.729375,5.0,44.0,0.24655172413793103
345,40.0,0.756875,5.0,45.0,0.24655172413793103
346,40.0,0.7475,5.0,46.0,0.24655172413793103
347,40.0,0.75125,5.0,47.0,0.24655172413793103
348,40.0,0.716875,5.0,48.0,0.24655172413793103
349,40.0,0.800625,5.0,49.0,0.24655172413793103
350,40.0,0.75875,5.0,0.0,0.27931034482758615
351,40.0,0.73625,5.0,1.0,0.27931034482758615
352,40.0,0.71375,5.0,2.0,0.27931034482758615
353,40.0,0.735625,5.0,3.0,0.27931034482758615
354,40.0,0.715625,5.0,4.0,0.27931034482758615
355,40.0,0.70875,5.0,5.0,0.27931034482758615
356,40.0,0.701875,5.0,6.0,0.27931034482758615
357,40.0,0.69625,5.0,7.0,0.27931034482758615
358,40.0,0.6875,5.0,8.0,0.27931034482758615
359,40.0,0.69375,5.0,9.0,0.27931034482758615
360,40.0,0.703125,5.0,10.0,0.27931034482758615
361,40.0,0.671875,5.0,11.0,0.27931034482758615
362,40.0,0.720625,5.0,12.0,0.27931034482758615
363,40.0,0.719375,5.0,13.0,0.27931034482758615
364,40.0,0.7125,5.0,14.0,0.27931034482758615
365,40.0,0.710625,5.0,15.0,0.27931034482758615
366,40.0,0.695,5.0,16.0,0.27931034482758615
367,40.0,0.705625,5.0,17.0,0.27931034482758615
368,40.0,0.7325,5.0,18.0,0.27931034482758615
369,40.0,0.691875,5.0,19.0,0.27931034482758615
370,40.0,0.656875,5.0,20.0,0.27931034482758615
371,40.0,0.71125,5.0,21.0,0.27931034482758615
372,40.0,0.706875,5.0,22.0,0.27931034482758615
373,40.0,0.69625,5.0,23.0,0.27931034482758615
374,40.0,0.6125,5.0,24.0,0.27931034482758615
375,40.0,0.695,5.0,25.0,0.27931034482758615
376,40.0,0.6875,5.0,26.0,0.27931034482758615
377,40.0,0.67625,5.0,27.0,0.27931034482758615
378,40.0,0.695625,5.0,28.0,0.27931034482758615
379,40.0,0.675,5.0,29.0,0.27931034482758615
380,40.0,0.70375,5.0,30.0,0.27931034482758615
381,40.0,0.691875,5.0,31.0,0.27931034482758615
382,40.0,0.733125,5.0,32.0,0.27931034482758615
383,40.0,0.715,5.0,33.0,0.27931034482758615
384,40.0,0.711875,5.0,34.0,0.27931034482758615
385,40.0,0.675,5.0,35.0,0.27931034482758615
386,40.0,0.649375,5.0,36.0,0.27931034482758615
387,40.0,0.694375,5.0,37.0,0.27931034482758615
388,40.0,0.68,5.0,38.0,0.27931034482758615
389,40.0,0.69625,5.0,39.0,0.27931034482758615
